,Total,QVM-Therry St (South),Pelham St (South)
0,20514686,137175,83553
1,18400508,93315,77593
2,19559400,94980,77533
3,19096264,135467,66638
4,19391486,132729,40181
5,18109838,101256,42714
6,16858818,95164,56911
7,12495970,85517,59855
8,2942258,63224,12079
9,4536450,80665,15479
10,6285049,78411,18768
11,4005612,66832,17197
12,2356316,63432,12052
13,2681026,65631,12755
14,3648305,73589,1790
15,7031784,71529,12110
16,9786726,73107,18107
17,8038037,65809,17925
18,6942036,61117,18163
19,10168966,64460,33885
20,11389823,71901,29498
21,9544418,72130,33566
22,6219415,66715,17181
23,7496519,71023,20477
24,3878260,59596,15812
